id,journal,abstract
223,C,"The presence of winds in Titan's lower and middle atmosphere has been determined by a variety of techniques, including direct measurements from the Huygens Probe(1) over 0-150 km; Doppler shifts of molecular spectral lines in the optical, thermal infrared and millimetre ranges(2-4), which together have probed the similar to 100-450 km altitude range; inferences from the thermal field over 10-0.001 mbar (that is, similar to 100-500 km)(5,6); and inferences from central flashes in stellar occultation curves(7-9). These measurements predominantly indicated strong prograde winds, reaching maximum speeds of similar to 150-200 m s(-1) in the upper stratosphere, with important latitudinal and seasonal variations. However, these observations provided incomplete atmospheric sounding; in particular, the wind regime in Titan's upper mesosphere and thermosphere (500-1,200 km) has remained unconstrained so far. Here we report direct wind measurements based on Doppler shifts of six molecular species observed with the Atacama Large Millimeter/submillimeter Array (ALMA). We show that contrary to expectations, strong prograde winds extend up to the thermosphere, with the circulation progressively turning into an equatorial jet regime as the altitude increases, reaching similar to 340 m s(-1) at 1,000 km. We suggest that these winds may represent the dynamical response of forcing by waves launched at upper stratospheric/mesospheric levels and/or of magnetospheric-ionospheric interaction. We also demonstrate that the distribution of the hydrogen isocyanide (HNC) molecule is restricted to Titan's thermosphere above similar to 870 km altitude."
224,C,"Some highly irradiated close-in exoplanets orbit stars showing anomalously low stellar chromospheric emission. We attribute this deficit to absorption by circumstellar gas replenished by mass loss from ablating planets. Here we report statistics validating this hypothesis. Among similar to 3,000 nearby, bright, main-sequence stars, similar to 40 show depressed chromospheric emission indicative of undiscovered mass-losing planets. The Dispersed Matter Planet Project uses high-precision, high-cadence radial velocity (RV) measurements to detect these planets. We summarize results for two planetary systems (DMPP-1 and DMPP-3) and fully present observations revealing an M-p sin i = 0.469 M-J planet in a 5.207 d orbit around the gamma Doradus pulsator HD 11231 (DMPP-2). We have detected short-period planets wherever we have made more than 60 RV measurements, demonstrating that we have originated a very efficient method for detecting nearby compact planetary systems. These shrouded, ablating planetary systems may be a short-lived phase related to the Neptunian desert, that is, the dearth of intermediate-mass planets at short orbital periods. The circumstellar gas facilitates compositional analysis, allowing empirical exogeology in the cases of sublimating rocky planets. Dispersed Matter Planet Project discoveries will be important for establishing the empirical mass-radius-composition relationship(s) for low-mass planets."
225,C,"Star DMPP-1 hosts a compact, four-planet system comprising three irradiated super-Earth-mass planets and one Neptune-mass planet, discovered through radial velocity measurements and the star's anomalously low chromospheric emission. To put the Solar System's terrestrial planets in context, the detection and characterization of low-mass exoplanets is important but challenging. The Dispersed Matter Planet Project targets stars with anomalously low Ca ii H and K chromospheric emission, indicative of circumstellar absorbing gas. Here we report high-precision, high-cadence radial-velocity measurements of the F8V star DMPP-1 (HD 38677). These were motivated by depressed Ca ii H and K line cores indicative of short-period, ablating planets producing circumstellar gas. We find a compact planetary system with orbital periods of about 2.9-19 days, comprising three super-Earth-mass planets (about 3-10 M-circle plus) and one Neptune-mass planet (about 24 M-circle plus). The irradiated super-Earths may be remnant cores of giant planets after mass loss while crossing the Neptune desert. A priori inferences about the presence of short-period planets enabled the efficient discovery of the DMPP-1 planets. We anticipate informative follow-up characterization studies."
226,C,"The motions of gas and stars in the nuclei of nearby galaxies have demonstrated that massive black holes are common(1) and that their masses correlate with the stellar velocity dispersion s. of the bulge(2-4). This correlation suggests that massive black holes and galaxies influence each other's growth(5-7). Dynamical measurements are less reliable when the sphere of influence is unresolved; thus, it remains unknown whether this correlation exists in galaxies much smaller than the Milky Way. Light echoes from photoionized clouds around accreting black holes(8,9), in combination with the velocity of these clouds, yield a direct mass measurement that circumvents this difficulty. Here we report an exceptionally low reverberation delay of 83 +/- 14 min between variability in the accretion disk and Ha emission from the nucleus of the dwarf galaxy NGC 4395. Combined with the Ha velocity dispersion sline = 426 +/- 1 km s(-1), this lag determines a mass of about 10,000 M. for the black hole (M-BH). This mass is among the smallest central black hole masses reported, near the low end of expected masses for heavy 'seeds'(10-12), and the best direct mass measurement for a galaxy of this size. Despite the lack of a bulge, NGC 4395 is consistent with the M-BH-sigma(*) relation, indicating that the relation need not originate from hierarchical galaxy assembly nor from black hole feedback."
227,C,"One of the primary goals of exoplanetary science is to detect small, temperate planets passing (transiting) in front of bright and quiet host stars. This enables the characterization of planetary sizes, orbits, bulk compositions, atmospheres and formation histories. These studies are facilitated by small and cool M dwarf host stars. Here we report the Transiting Exoplanet Survey Satellite (TESS)(1) discovery of three small planets transiting one of the nearest and brightest M dwarf hosts observed to date, TOI-270 (TIC 259377017, with K-magnitude 8.3, and 22.5 parsecs away from Earth). The M3V-type star is transited by the super-Earth-sized planet TOI-270 b (1.247(-0.083)(+0.089) R-circle plus) and the sub-Neptune-sized planets TOI-270 c (2.42 +/- 0.13 R-circle plus) and TOI-270 d (2.13 +/- 0.12 R-circle plus). The planets orbit close to a mean-motion resonant chain, with periods (3.36 days, 5.66 days and 11.38 days, respectively) near ratios of small integers (5:3 and 2:1). TOI-270 is a prime target for future studies because (1) its near-resonance allows the detection of transit timing variations, enabling precise mass measurements and dynamical studies; (2) its brightness enables independent radial-velocity mass measurements; (3) the outer planets are ideal for atmospheric characterization via transmission spectroscopy; and (4) the quietness of the star enables future searches for habitable zone planets. Altogether, very few systems with small, temperate exoplanets are as suitable for such complementary and detailed characterization as TOI-270."
228,C,"Ultra-wideband, three-dimensional (3D) imaging spectrometry in the millimeter-submillimeter (mm-submm) band is an essential tool for uncovering the dust-enshrouded portion of the cosmic history of star formation and galaxy evolution(1-3). However, it is challenging to scale up conventional coherent heterodyne receivers(4) or free-space diffraction techniques(5) to sufficient bandwidths (>= 1 octave) and numbers of spatial pixels(2,3) (>10(2)). Here, we present the design and astronomical spectra of an intrinsically scalable, integrated superconducting spectrometer(6), which covers 332-377 GHz with a spectral resolution of F/Delta F similar to 380. It combines the multiplexing advantage of microwave kinetic inductance detectors (MKIDs)(7) with planar superconducting filters for dispersing the signal in a single, small superconducting integrated circuit. We demonstrate the two key applications for an instrument of this type: as an efficient redshift machine and as a fast multi-line spectral mapper of extended areas. The line detection sensitivity is in excellent agreement with the instrument design and laboratory performance, reaching the atmospheric foreground photon noise limit on-sky. The design can be scaled to band-widths in excess of an octave, spectral resolution up to a few thousand and frequencies up to similar to 1.1 THz. The miniature chip footprint of a few cm(2) allows for compact multi-pixel spectral imagers, which would enable spectroscopic direct imaging and large-volume spectroscopic surveys that are several orders of magnitude faster than what is currently possible(1-3)."
229,C,"Using two independent laser frequency combs to calibrate an astronomical spectrometer, researchers demonstrate a stability of similar to 1 cm s(-1), which is required for detecting low-mass rocky exoplanets around Sun-like stars. Laser frequency combs (LFCs) are well on their way to becoming the next-generation calibration sources for precision astronomical spectroscopy(1-6). This development is considered key in the hunt for low-mass rocky exoplanets around solar-type stars whose discovery with the radial-velocity method requires cm s(-1) Doppler precision(7). In order to prove such precise calibration with an LFC, it must be compared to another calibrator of at least the same precision. Being the best available spectrograph calibrator, this means comparing it to a second-fully independent-LFC. Here, we report on a test in which two separate LFCs were used to simultaneously calibrate an astronomical spectrograph. Our installation of two LFCs at the ultra-stable two-channel spectrograph HARPS allowed characterization of their relative stability and consistency in calibration at the highest available level. Although the test was limited in time, the results confirm the 1 cm s(-1) stability that has long been anticipated by the astronomical community."
230,C,"X-ray reverberation echoes are assumed to be produced in the strongly distorted spacetime around accreting supermassive black holes. This signal allows us to spatially map the geometry of the inner accretion flow(1,2)-a region that cannot yet be spatially resolved by any telescope-and provides a direct measure of the black hole mass and spin. The reverberation timescale is set by the light travel path between the direct emission from a hot X-ray corona and the reprocessed emission from the inner edge of the accretion disk(3-6). However, there is an inherent degeneracy in the reverberation signal between black hole mass, inner disk radius and height of the illuminating corona above the disk. Here we use a long X-ray observation of the highly variable active galaxy IRAS 13224-3809 to track the reverberation signal as the system evolves on timescales of a day(7,8). With the inclusion of all the relativistic effects, modelling reveals that the height of the X-ray corona increases with increasing luminosity, providing a dynamic view of the inner accretion region. This simultaneous modelling allows us to break the inherent degeneracies and obtain an independent timing-based estimate for the mass and spin of the black hole. The uncertainty on black hole mass is comparable to the leading optical reverberation method(9), making X-ray reverberation a powerful technique, particularly for sources with low optical variability(10). Relativistic modelling of long X-ray observations of a highly variable active galaxy reveals that the height of its X-ray corona increases with increasing luminosity. X-ray reverberation is shown to be a powerful technique to measure black hole masses."
231,C,"Spectroscopic simulations of exoplanetary atmospheres show that our best chance to detect molecular oxygen lies in the 6.4-mu m band of collision-induced absorptions. The first detections could be possible with the James Webb Space Telescope. The collision-induced fundamental vibration-rotation band at 6.4 mu m is the strongest absorption feature from O-2 in the infrared(1-3), yet it has not been previously incorporated into exoplanet spectral analyses for several reasons. Either collision-induced absorptions (CIAs) were not included or incomplete/obsolete CIA databases were used. Also, the current version of HITRAN does not include CIAs at 6.4 mu m with other collision partners (O-2-X). We include O-2-X CIA features in our transmission spectroscopy simulations by parameterizing the 6.4-mu m O-2-N-2 CIA based on ref. (3) and the O-2-CO2 CIA based on ref. (4). Here we report that the O-2-X CIA may be the most detectable O-2 feature for transit observations. For a potential TRAPPIST-1 e analogue system within 5 pc of the Sun, it could be the only O-2 signature detectable with the James Webb Space Telescope (JWST) (using MIRI LRS (Mid-Infrared Instrument low-resolution spectrometer)) for a modern Earth-like cloudy atmosphere with biological quantities of O-2. Also, we show that the 6.4-mu m O-2-X CIA would be prominent for O-2-rich desiccated atmospheres(5) and could be detectable with JWST in just a few transits. For systems beyond 5 pc, this feature could therefore be a powerful discriminator of uninhabited planets with non-biological 'false-positive' O-2 in their atmospheres, as they would only be detectable at these higher O-2 pressures."
232,C,"One interpretation of the activity and magnetism of late-type stars is that these both intensify with decreasing Rossby number up to a saturation level(1-3), suggesting that stellar dynamos depend on both rotation and convective turbulence(4). Some studies have claimed, however, that rotation alone suffices to parametrize this scaling adequately(5,6). Here, we tackle the question of the relevance of turbulence to stellar dynamos by including evolved, post-main-sequence stars in the analysis of the rotation-activity relation. These stars rotate very slowly compared with main-sequence stars, but exhibit similar activity levels(7). We show that the two evolutionary stages fall together in the rotation-activity diagram and form a single sequence in the unsaturated regime in relation only to Rossby numbers derived from stellar models, confirming earlier preliminary results that relied on a more simplistic parametrization of the convective turn-over time(8,9). This mirrors recent results of fully convective M dwarfs, which likewise fall on the same rotation-activity sequence as partially convective solar-type stars(10,11). Our results demonstrate that turbulence plays a crucial role in driving stellar dynamos and suggest that there is a common turbulence-related dynamo mechanism explaining the magnetic activity of all late-type stars. Uniform analysis of both main-sequence and evolved, post-main-sequence stars shows that a common, turbulence-dependent, dynamo mechanism operates throughout these stages of stellar evolution."
233,C,"The properties of neutron stars are determined by the nature of the matter that they contain. These properties can be constrained by measurements of the star's size. We obtain stringent constraints on neutron-star radii by combining multimessenger observations of the binary neutron-star merger GW170817 with nuclear theory that best accounts for density-dependent uncertainties in the equation of state. We construct equations of state constrained by chiral effective field theory and marginalize over these using the gravitational-wave observations. Combining this with the electromagnetic observations of the merger remnant that imply the presence of a short-lived hypermassive neutron star, we find that the radius of a 1.4 M-circle dot neutron star is R1.4M circle dot=11.0-0.6+0.9km (90% credible interval). Using this constraint, we show that neutron stars are unlikely to be disrupted in neutron star-black hole mergers; subsequently, such events will not produce observable electromagnetic emission."
234,A,"The Extended Strengths and Weaknesses Assessment of Normal Behavior (E-SWAN) reconceptualizes each diagnostic criterion for selected DSM-5 disorders as a behavior, which can range from high (strengths) to low (weaknesses). Initial development focused on Panic Disorder, Social Anxiety, Major Depression, and Disruptive Mood Dysregulation Disorder. Data were collected from 523 participants (ages 6-17). Parents completed each of the four E-SWAN scales and traditional unidirectional scales addressing the same disorders. Distributional properties, Item Response Theory Analysis (IRT), and Receiver Operating Characteristic (ROC) curves were used to assess and compare the performance of E-SWAN and traditional scales. In contrast to the traditional scales, which exhibited truncated distributions, all four E-SWAN scales had symmetric distributions. IRT analyses indicate the E-SWAN subscales provided reliable information about respondents throughout the population distribution; traditional scales only provided reliable information about respondents at the high end of the distribution. Predictive value for DSM-5 diagnoses was comparable to prior scales. E-SWAN bidirectional scales can capture the full spectrum of the population distribution of behavior underlying DSM disorders. The additional information provided can better inform examination of inter-individual variation in population studies, as well as facilitate the identification of factors related to resiliency in clinical samples."
235,A,"Reading is important for children's success in school and beyond, yet many adolescents fail to reach expected levels of proficiency. This highlights the need to better understand the factors that influence reading effectiveness over time, including genes and environment. Greater expression of genetic influence on first- and second-grade reading fluency has been observed in higher quality classroom reading environments. To what degree this early environment continues to influence genetic and other environmental influences on later reading is unknown and was tested in this study. The quality of the early classroom reading environment was approximated by gains in oral reading fluency (ORF) across the school year among first- or second-grade classmates of 546 MZ and 1,016 DZ twin children (mean age = 7.13 years; SD = 0.45) who had reading comprehension scores from a state-wide mandatory test in school year 2013-2014 when most twin pairs were in seventh to tenth grade (mean age = 14.41; SD = 1.13) in a variable called Class ORF Gain. Biometrical models were fit to the data to assess whether Class ORF Gain moderated the genetic, shared environmental and/or nonshared environmental variance associated with adolescent reading comprehension. Class ORF Gain moderated shared environmental influences on reading comprehension 6-9 years later. When early classroom reading gains were poor, variability in reading comprehension in adolescence was high and was associated largely with shared environmental influences. When early classroom reading gains were good, overall and shared environmentally influenced variability in adolescent reading comprehension was lower so that genetic influences were most relevant in explaining that variability. Our findings suggested that classroom reading environment experienced when children were learning to read had a lasting influence on the factors underlying variability in later reading effectiveness."
236,A,"Objective Children with low self-control who grow up in poverty are at elevated risk for living in poverty when they are adults. The purpose of this study was to further understanding of the intergenerational continuity of poverty by (a) examining the likelihood that children with low levels of self-control at age 11 earn less employment income and are more likely to live in poverty 14 years later, at age 25; and (b) determining, via a preventive intervention, whether enhancing supportive parenting during childhood will ameliorate these associations. Parents and their 11-year-old children from 381 families participated in the Strong African American Families (SAAF) program or a control condition. Teachers assessed children's self-control at 11 years; parents reported their use of supportive parenting when children were 11 and 13 years; emerging adults provided data on cognitive and emotional self-control at 19, 20, and 21 years; and young adults indicated their employment income at 25 years. Significant two-way interactions were detected between children's self-control and prevention condition for employment income (b = -183.18, 95% CI [-363.82, -2.53], p < .05) and poverty status (b = 0.257, 95% CI [0.018, 0.497], p < .05). Low self-control at age 11 forecast less employment income and a greater likelihood of living in poverty among children in the control condition, but not among low self-control SAAF participants. Mediated moderation analyses confirmed that enhanced supportive parenting accounted for SAAF's effects on employment income (indirect effect = 63.057, 95% BCA [19.385, 124.748]) and poverty status (indirect effect = -0.071, 95% BCA [-0.165, -0.016]). This study is unique in using a randomized controlled trial to show that preventive interventions designed to enhance parenting and strengthen families can buffer the long-term economic consequences of low self-control."
237,A,"Objective To classify a cohort of depressed adolescents recruited to the UK IMPACT trial, according to trajectories of symptom change. We examined for predictors and compared the data-driven categories of patients with a priori operational definitions of treatment response. Method Secondary data analysis using growth mixture modelling (GMM). Missing data were imputed. Trajectories of self-reported depressive symptoms were plotted using scores taken at six nominal time points over 86 weeks from randomisation in all 465 patients. A piecewise GMM categorised patients into two classes with initially similar and subsequently distinct trajectories. Both groups had a significant decline in depressive symptoms over the first 18 weeks. Eighty-four per cent (84.1%, n = 391) of patients were classed as 'continued-improvers' with symptoms reducing over the duration of the study. A further class of 15.9% (n = 74) of patients were termed 'halted-improvers' with higher baseline depression scores, faster early recovery but no further improvement after 18 weeks. Presence of baseline comorbidity somewhat increased membership to the halted-improvers class (OR = 1.40, CI: 1.00-1.96). By end of study, compared with classes, a clinical remission cut-off score (<= 27) and a symptom reduction score (>= 50%) indexing treatment response misclassified 15% and 31% of cases, respectively. A fast reduction in depressive symptoms in the first few weeks of treatment may not indicate a good prognosis. Halted improvement is only seen after 18 weeks of treatment. Longitudinal modelling may improve the precision of revealing differential responses to treatment. Improvement in depressive symptoms may be somewhat better in the year after treatment than previously considered."
238,A,"BackgroundThe latest version of the International Classification of Diseases (ICD-11) proposes a posttraumatic stress disorder (PTSD) diagnosis reduced to its core symptoms within the symptom clusters re-experiencing, avoidance and hyperarousal. Since children and adolescents often show a variety of internalizing and externalizing symptoms in the aftermath of traumatic events, the question arises whether such a conceptualization of the PTSD diagnosis is supported in children and adolescents. Furthermore, although dysfunctional posttraumatic cognitions (PTCs) appear to play an important role in the development and persistence of PTSD in children and adolescents, their function within diagnostic frameworks requires clarification. MethodsWe compiled a large international data set of 2,313 children and adolescents aged 6 to 18 years exposed to trauma and calculated a network model including dysfunctional PTCs, PTSD core symptoms and depression symptoms. Central items and relations between constructs were investigated. ResultsThe PTSD re-experiencing symptoms strong or overwhelming emotions and strong physical sensations and the depression symptom difficulty concentrating emerged as most central. Items from the same construct were more strongly connected with each other than with items from the other constructs. Dysfunctional PTCs were not more strongly connected to core PTSD symptoms than to depression symptoms. ConclusionsOur findings provide support that a PTSD diagnosis reduced to its core symptoms could help to disentangle PTSD, depression and dysfunctional PTCs. Using longitudinal data and complementing between-subject with within-subject analyses might provide further insight into the relationship between dysfunctional PTCs, PTSD and depression."
239,A,"Borderline personality disorder (BPD) typically onsets in adolescence and predicts later functional disability in adulthood. Highly structured evidence-based psychotherapeutic programs, including mentalization-based treatment (MBT), are first choice treatment. The efficacy of MBT for BPD has mainly been tested with adults, and no RCT has examined the effectiveness of MBT in groups (MBT-G) for adolescent BPD. Method A total of 112 adolescents (111 females) with BPD (106) or BPD symptoms >= 4 DSM-5 criteria (5) referred to child and adolescent psychiatric outpatient clinics were randomized to a 1-year MBT-G, consisting of three introductory, psychoeducative sessions, 37 weekly group sessions, five individual case formulation sessions, and six group sessions for caregivers, or treatment as usual (TAU) with at least 12 monthly individual sessions. The primary outcome was the score on the borderline personality features scale for children (BPFS-C); secondary outcomes included self-harm, depression, externalizing and internalizing symptoms (all self-report), caregiver reports, social functioning, and borderline symptoms rated by blinded clinicians. Outcome assessments were made at baseline, after 10, 20, and 30 weeks, and at end of treatment (EOT). The ClinicalTrials.gov identifier is NCT02068326. At EOT, the primary outcome was 71.3 (SD = 15.0) in the MBT-G group and 71.3 (SD = 15.2) in the TAU group (adjusted mean difference 0.4 BPFS-C units in favor of MBT-G, 95% confidence interval -6.3 to 7.1, p = .91). No significant group differences were found in the secondary outcomes. 29% in both groups remitted. 29% of the MBT group completed less than half of the sessions compared with 7% of the control group. There is no indication for superiority of either therapy method. The low remission rate points to the importance of continued research into early intervention. Specifically, retention problems need to be addressed."
240,A,"Few epidemiological data on autism spectrum disorders (ASD) exist for Arabic countries. We conducted the first survey of ASD in Qatar, a population with high consanguinity level. This cross-sectional survey was conducted from 2015 to 2018 in Qatar school-age children (N = 176,960) from national and immigrant families. Children diagnosed with ASD were identified through medical centers and special needs schools. Records were abstracted and supplemented by parental interviews. Additionally, children attending 93 schools were screened; ASD case status was confirmed in random samples of screen-positive and screen-negative children. Prevalence was estimated after taking into account different sampling fractions and participation rates at each survey phase. One thousand three hundred and ninety-three children already diagnosed with ASD were identified. Among 9,074 school survey participants, 760 screen-negative children and 163 screen-positive children were evaluated; 17 were confirmed to have ASD including five children newly diagnosed. Prevalence was 1.14% (95% CI: 0.89-1.46) among 6- to 11-year-olds. ASD was reported in full siblings/extended relatives in 5.9% (95% CI: 0.042-0.080)/11.8% (95% CI: 0.095-0.146) families. First-degree consanguinity in Qatari cases (45%) was comparable to known population levels. Among 844 ASD cases (mean age: 7.2 years; 81% male), most children experienced language delay (words: 75.1%; phrase speech: 91.4%), and 19.4% reported developmental regression. At the time of the survey, persisting deficits in expressive language (19.4%) and peer interactions (14.0%) were reported in conjunction with behavioral problems (ADHD: 30.2%; anxiety: 11.0%). In multivariate logistic regression, ASD severity was associated with parental consanguinity, gestational diabetes, delay in walking, and developmental regression. ASD prevalence in Qatar is consistent with recent international studies. The methods employed in this study should help designing comparable surveys in the region. We estimated that 187,000 youths under age 20 have ASD in Gulf countries. This figure should assist in planning health and educational services for a young, fast-growing population."
241,A,"Population-based and family studies showed that impulsive-aggression predicts suicidality; however, the underlying etiological nature of this association is poorly understood. The objective was to determine the contribution of genes and environment to the association between childhood impulsive-aggression and serious suicidal ideation/attempt in young adulthood. N = 862 twins (435 families) from the Quebec Newborn Twin Study were followed up from birth to 20 years. Repeated measures of teacher-assessed impulsive-aggression were modeled using a genetically informed latent growth model including intercept and slope parameters reflecting individual differences in the baseline level (age 6 years) and in the change (increase/decrease) of impulsive-aggression during childhood (6 to 12 years), respectively. Lifetime suicidality (serious suicidal ideation/attempt) was self-reported at 20 years. Associations of impulsive-aggression intercept and slope with suicidality were decomposed into additive genetic (A) and unique environmental (E) components. Additive genetic factors accounted for an important part of individual differences in impulsive-aggression intercept (A = 90%, E = 10%) and slope (A = 65%, E = 35%). Genetic (50%) and unique environmental (50%) factors equally contributed to suicidality. We found that 38% of the genetic factors accounting for suicidality were shared with those underlying impulsive-aggression slope, whereas 40% of the environmental factors accounting for suicidality were shared with those associated with impulsive-aggression intercept. The genetic correlation between impulsive-aggression slope and suicidality was 0.60, p = .027. Genetic and unique environmental factors underlying suicidality significantly overlap with those underlying childhood impulsive-aggression. Future studies should identify putative genetic and environmental factors to inform prevention."
242,A,"Using data from the English & Romanian Adoptees (ERA) study, we recently reported that early time-limited exposure to severe institutional deprivation is associated with early-onset and persistent neurodevelopmental problems and later-onset emotional problems. Here, we examine possible reasons for the late emergence of emotional problems in this cohort. Our main focus is on testing a developmental cascade mediated via the functional impact of early-appearing neurodevelopmental problems on late adolescent functioning. We also explore a second putative pathway via sensitization to stress. The ERA study includes 165 Romanian individuals who spent their early lives in grossly depriving institutions and were subsequently adopted into UK families, along with 52 UK adoptees with no history of deprivation. Age six years symptoms of neurodevelopmental problems and age 15 anxiety/depression symptoms were assessed via parental reports. Young adult symptoms of depression and anxiety were assessed by both parent and self-reports; young adults also completed measures of stress reactivity, exposure to adverse life events, and functioning in work and interpersonal relationships. The path between early institutional deprivation and adult emotional problems was mediated via the impact of early neurodevelopmental problems on unemployment and poor friendship functioning during the transition to adulthood. The findings with regard to early deprivation, later life stress reactivity, and emotional problems were inconclusive. Our analysis suggests that the risk for adult depression and anxiety following extreme institutional deprivation is explained through the effects of early neurodevelopmental problems on later social and vocational functioning. Future research should more fully examine the role of stress susceptibility in this model."
243,A,"The dominant view based on the deficit model of developmental psychopathology is that early adverse rearing impairs cognition. In contrast, an emerging evolutionary-developmental model argues that individuals exposed to early-life stress may have improved cognitive abilities that are adapted to harsh environments. We set out to test this hypothesis by examining cognitive functions in parentally deprived children in Nigeria. Cognitive performance was compared between 53 deprived children who currently live in institutional homes and foster families and 51 nondeprived control participants. We used a multifaceted neurocognitive test battery for the assessment of inhibition, set-shifting and working memory. showed that the deprived and nondeprived group did not significantly differ in their performance on set-shifting and inhibition tasks. Conversely, the deprived group performed significantly better than the nondeprived group in the working memory task. Discussion We interpret the enhanced working memory ability of the deprived group as a correlate of its ecological relevance. In Nigeria, underprivileged children may need to rely to a larger extent on working memory abilities to attain success through academic work. This study provides further evidence that exposure to early adversity does not necessarily impair cognitive functions but can even enhance it under some conditions and in some domains."
244,A,"Sluggish cognitive tempo (SCT) is a construct that includes symptoms of slowness, excessive daydreaming, and drowsiness. SCT is often comorbid with attention-deficit/hyperactivity disorder (ADHD), and SCT symptoms are associated with significant academic impairment above the influence of ADHD. Despite the overlap between ADHD and SCT and associated impairments, no studies have evaluated how evidence-based psychosocial interventions for adolescents with ADHD impact symptoms of SCT. This study examined whether SCT symptoms improved in a sample of 274 young adolescents with ADHD who were randomly assigned to an organizational skills intervention, homework completion intervention, or to a waitlist control. SCT intervention response was evaluated broadly in all participants and, specifically, for participants in the clinical range for SCT symptom severity at baseline. Change in ADHD symptoms of inattention, executive functioning, and motivation were examined as potential predictors of improvement in SCT. The two intervention groups were collapsed together for analyses because there were no significant differences in change in SCT symptoms. Multilevel modeling results indicate that parent-reported SCT symptoms significantly decreased when comparing the intervention group to waitlist control (d = .410). For adolescents with parent-reported clinical levels of SCT, the decrease in symptoms was more pronounced (d = .517). Self-reported SCT symptoms produced null results, though effect size calculations showed small improvement for the full sample (d = .313) and for the high-SCT group (d = .384). Change in behavior regulation executive functioning (d = .247), metacognitive executive functioning (d = .346), and inattention (d = .230) predicted change in parent-reported SCT symptoms. Although not specifically designed to decrease SCT symptoms, the ADHD interventions evaluated in this study resulted in significant improvements in parent-reported SCT with small to moderate effect sizes. Clinical implications and future directions are discussed, including development of interventions for adolescents with high levels of SCT."
245,A,"Attention-deficit/hyperactivity disorder (ADHD) is a neurodevelopmental disorder with origins early in life. There is growing evidence that individual differences in temperament reactivity are predictive of ADHD symptoms, yet little is known about the relations between temperament reactivity in early infancy and later ADHD symptoms or the combined effect of reactivity with early environmental factors on ADHD symptom development. Using a 9-year prospective longitudinal design, this study tested the independent and interactive contributions of infant reactivity and maternal caregiving behaviors (MCB) on parent- and teacher-reported childhood ADHD symptoms. Participants included 291 children (135 male; 156 female) who participated in a larger study of temperament and social-emotional development. Reactivity was assessed by behavioral observation of negative affect, positive affect, and motor activity during novel stimuli presentations at 4 months of age. MCB were observed during a series of semistructured mother-infant tasks at 9 months of age. Finally, ADHD symptoms were assessed by parent- and teacher-report questionnaires at 7 and 9 years, respectively. Reactivity was predictive of ADHD symptoms, but results were sex specific. For boys, infant motor activity was positively predictive of later ADHD symptoms, but only at lower quality MCB. For girls, infant positive affect was positively predictive of later ADHD symptoms at lower quality MCB, and-unexpectedly-infant positive affect and motor activity were negatively predictive of later ADHD symptoms at higher quality MCB. These results point to early parenting as a moderating factor to mitigate temperament-related risk for later ADHD, suggesting this as a potential intervention target to mitigate risk for ADHD among reactive infants."
246,A,"Previous research has demonstrated a reciprocal relationship between community violence exposure and disruptive behavior problems among youth. No study to date, however, has explored the potential interaction between violence exposure in early adolescence and genetics. We explore the gene x environment interaction's impact on teacher-rated aggressive and impulsive behaviors. Violence exposure during the middle school years was assessed using self-report. Genetic data collection occurred in emerging adulthood. A polygenic score was created using findings from a conduct disorder symptomatology genome-wide association study. Three longitudinal classes of teacher reported aggressive and impulsive behavior were identified. We found a significant relationship between violence exposure and class membership. There was a significant GxE interaction, such that those with below average levels of the polygenic score and who were exposed to violence were more likely to be in the moderately high aggressive and impulsive class as compared to the no to low class. These findings highlight the influence of genetic risk together with violence exposure on adolescent problem behavior. Although youth may have little control over the environments in which they live, interventions can and should focus on helping all youth."
247,A,"Reduced reward responsiveness (RR) may contribute to depression vulnerability. At the neurophysiological level, RR is reliably and validly assessed using the reward positivity (RewP) event-related potential component. We previously identified a blunted RewP in 9-year-old children at high risk for depression due to maternal depression, but the role of RR in pathways from parental history to the development of depressive symptoms has not been examined. At age 9, never-depressed children (N = 369) completed a task in which RewP was measured in response to monetary reward and loss feedback. Parental history of depression was assessed using semistructured interviews, and children reported on their depressive symptoms. At age 12, youth depressive symptoms were reassessed, along with a self-report measure of RR. We tested RR as a moderator of the effects of parental depression on depressive symptoms at age 12, using both neurophysiological and self-report measures and controlling for age 9 symptoms. Main effects of RR and interactions with maternal depression were significant. Maternal depression predicted greater depressive symptoms in youth with blunted and average RewP but was not a significant predictor in youth with an enhanced RewP. A similar pattern was observed for self-reported RR. The two measures of RR were not correlated with each other and accounted for unique variance in symptoms. Interactions between RR and paternal depression were not significant. Reduced RR, as measured by neurophysiology and self-report, moderates the effects of maternal depression on depressive symptoms in offspring. Assessment of RR along with risk factors such as parental depression may aid in identifying children at greatest risk and enhancing RR could be a potential target for prevention. highlight the utility of multimethod approaches for advancing understanding of depression risk."
